"Lake","Species","LengthDataStartYear","LengthDataEndYear","TempChange","TempDataStartYear","TempDataEndYear","EarlyLengthYearsMissingTemp","LateLengthYearsMissingTemp"
"Ada- 11025000","Cisco",1998,2016,-0.028044702615597,1980,2019,NA,NA
"Andrew- 21008500","Cisco",1999,2012,-0.390299928154816,1980,2019,NA,NA
"Balsam- 31025900","Cisco",2000,2016,0.123751902839033,1980,2019,NA,NA
"Bear Island- 69011500","Cisco",1998,2018,-0.070040846620621,1980,2019,NA,NA
"Bearskin- 16022800","Lake Trout",1996,2019,0.363093993945593,1980,2019,NA,NA
"Beltrami- 4013500","Cisco",2000,2016,-0.004922695156522,1980,2019,NA,NA
"Bemidji (main lake)- 4013002","Cisco",1998,2017,-0.141201396476299,1980,2019,NA,NA
"Benedict- 29004800","Cisco",1996,2016,0.366581300605819,1980,2019,NA,NA
"Big Carr Lake- 971600","Cisco",2003,2016,0.484373480700795,1980,2019,NA,NA
"Big Green- 146100","Cisco",2013,2019,0.69187035739181,1980,2019,NA,NA
"Big Muskellunge Lake","Cisco",1981,2019,0.523285627456587,1980,2019,NA,NA
"Big Muskellunge- 1835300","Cisco",2013,2019,0.0830115502575368,1980,2019,NA,NA
"Big Pine- 56013000","Cisco",1996,2017,0.365262913861147,1980,2019,NA,NA
"Big Sandy- 1006200","Cisco",1999,2018,0.133563641512874,1980,2019,NA,NA
"Big Trout- 18031500","Lake Whitefish",2000,2018,0.306863260722095,1980,2019,NA,NA
"Big Trout- 18031500","Cisco",2000,2018,0.306863260722095,1980,2019,NA,NA
"Big- 4004900","Cisco",1999,2019,0.2067228351483,1980,2019,NA,NA
"Birch- 69000300","Cisco",1997,2015,-0.0219499247423575,1980,2019,NA,NA
"Blackduck- 4006900","Lake Whitefish",1996,2018,0.64108228590061,1980,2019,NA,NA
"Blackwater- 11027400","Cisco",1997,2019,0.119634986327345,1980,2019,NA,NA
"Blue- 29018400","Cisco",1994,2019,0.32378142513765,1980,2019,NA,NA
"Bluewater- 31039500","Lake Trout",1996,2017,0.424450172543631,1980,2019,NA,NA
"Bluewater- 31039500","Cisco",1996,2017,0.424450172543631,1980,2019,NA,NA
"Bowstring- 31081300","Cisco",1996,2015,0.347802840533144,1980,2019,NA,NA
"Boy- 11014300","Cisco",2000,2017,0.0928726388636862,1980,2019,NA,NA
"Buffalo- 3035000","Cisco",1997,2017,0.190009411798938,1980,2019,NA,NA
"Burntside- 69011800","Lake Whitefish",1996,2018,0.357072939521657,1980,2019,NA,NA
"Burntside- 69011800","Lake Trout",1996,2018,0.357072939521657,1980,2019,NA,NA
"Caribou- 31062000","Lake Trout",1996,2017,0.479598825986058,1980,2019,NA,NA
"Cass- 4003000","Lake Whitefish",2002,2019,0.346050203018153,1980,2019,NA,NA
"Cass- 4003000","Cisco",2002,2019,0.346050203018153,1980,2019,NA,NA
"Clearwater- 18003800","Cisco",1996,2019,0.487045058195915,1980,2019,NA,NA
"Cotton- 3028600","Cisco",1996,2016,0.332068995994437,1980,2019,NA,NA
"Crane- 69061600","Cisco",1996,2016,0.430768407522808,1980,2019,NA,NA
"Crooked Lake (IN)","Cisco",2010,2019,0.0980024854867463,1980,2019,NA,NA
"Crystal Lake","Lake Trout",1981,1994,-0.503866021142022,1980,2019,NA,NA
"Cut Foot Sioux- 31085700","Cisco",1993,2017,0.773446040217188,1980,2019,NA,NA
"Dam- 1009600","Cisco",1997,2019,0.191833814578722,1980,2019,NA,NA
"Dead- 56038300","Cisco",1997,2018,0.125206985851326,1980,2019,NA,NA
"Deer- 31033400","Cisco",1998,2018,0.213498746925088,1980,2019,NA,NA
"Deer- 4023000","Cisco",1997,2016,0.104945915528887,1980,2019,NA,NA
"Devil Track- 16014300","Lake Whitefish",1999,2019,0.121124484259815,1980,2019,NA,NA
"Dry- 69006400","Cisco",1996,2019,0.373879130202681,1980,2019,NA,NA
"Eagle- 29025600","Cisco",1997,2017,0.188506781207036,1980,2019,NA,NA
"East Battle- 56013800","Cisco",1996,2017,0.257560812200211,1980,2019,NA,NA
"East Loon- 56052300","Cisco",1998,2019,-0.463457153364557,1980,2019,NA,NA
"Eighth Crow Wing- 29007200","Cisco",1993,2018,0.726471993622827,1980,2019,NA,NA
"Elbow- 3015900","Cisco",1997,2018,0.31632504719786,1980,2019,NA,NA
"Elbow- 69074400","Cisco",1998,2018,-0.192196734974429,1980,2019,NA,NA
"Elbow- 69074400","Lake Whitefish",1998,2018,-0.192196734974429,1980,2019,NA,NA
"Eleventh Crow Wing- 29003600","Cisco",1996,2016,0.385873674343931,1980,2019,NA,NA
"Elk- 15001000","Cisco",2000,2019,0.0547826246477969,1980,2019,NA,NA
"Elmo- 82010600","Cisco",1996,2018,0.582498981682784,1980,2019,NA,NA
"Fall- 38081100","Cisco",1999,2017,0.233865981773449,1980,2019,NA,NA
"Farm Island- 1015900","Cisco",1998,2018,0.168412767472772,1980,2019,NA,NA
"Farm- 38077900","Cisco",1999,2017,0.197913977259245,1980,2019,NA,NA
"Flour- 16014700","Lake Trout",1997,2016,0.280869950408209,1980,2019,NA,NA
"Flour- 16014700","Cisco",1997,2016,0.280869950408209,1980,2019,NA,NA
"Garden- 38078200","Cisco",1999,2017,0.202037376208127,1980,2019,NA,NA
"Girl- 11017400","Cisco",1997,2016,0.245151167636725,1980,2019,NA,NA
"Green Lake- 146100","Cisco",1959,2016,0.639708644495929,1980,2019,21,NA
"Greenwood- 16007700","Lake Trout",1996,2019,0.38981183461236,1980,2019,NA,NA
"Greenwood- 16007700","Lake Whitefish",1996,2015,0.396826973970501,1980,2019,NA,NA
"Greenwood- 16007700","Cisco",1996,2019,0.38981183461236,1980,2019,NA,NA
"Grindstone- 58012300","Lake Trout",1997,2016,0.187688947569678,1980,2019,NA,NA
"Gull- 11030500","Cisco",1996,2019,0.23406996990342,1980,2019,NA,NA
"Gunflint- 16035600","Lake Trout",2000,2019,-0.066194961715611,1980,2019,NA,NA
"Gunflint- 16035600","Cisco",2000,2019,-0.066194961715611,1980,2019,NA,NA
"Hanging Horn- 9003800","Cisco",1996,2015,0.144829831733127,1980,2019,NA,NA
"Ida- 21012300","Cisco",1988,2019,0.440505872091232,1980,2019,NA,NA
"Inguadona- 11012000","Cisco",1998,2019,-0.12931379246975,1980,2019,NA,NA
"Island- 29025400","Cisco",1995,2015,0.138073028170013,1980,2019,NA,NA
"Island- 31091300","Cisco",1997,2013,-0.0560692088116892,1980,2019,NA,NA
"Itasca- 15001600","Cisco",2000,2015,-0.356238197737728,1980,2019,NA,NA
"Jessie- 31078600","Cisco",1999,2018,0.301089838376029,1980,2019,NA,NA
