Source,Lake,Latitude,Longitude
North Temperate Lakes Long Term Ecological Research,Trout Lake,46.032,-89.6748
North Temperate Lakes Long Term Ecological Research,Crystal Lake,46.0021,-89.613
North Temperate Lakes Long Term Ecological Research,Big Muskellunge Lake,46.0199,-89.6189
North Temperate Lakes Long Term Ecological Research,Sparkling Lake,46.0095,-89.7006
North Temperate Lakes Long Term Ecological Research,Fish Lake,43.2879,-89.6511
North Temperate Lakes Long Term Ecological Research,Lake Monona,43.0711,-89.3559
North Temperate Lakes Long Term Ecological Research,Lake Mendota,43.1097,-89.4206
Arctic Long Term Ecological  Research,Campsite Lake,68.6,-149.18333
Arctic Long Term Ecological  Research,E 05,68.642611,-149.458079
Arctic Long Term Ecological  Research,Fog Lake 1,68.68333,-149.076667
Arctic Long Term Ecological  Research,Fog Lake 2,68.68333,-149.1
Arctic Long Term Ecological  Research,Fog Lake 3,68.666667,-149.1
Arctic Long Term Ecological  Research,Fog Lake 5,68.675,-149.06
Arctic Long Term Ecological  Research,I8,68.611284,-149.589809
Arctic Long Term Ecological  Research,GTH 60,68.6364313,-149.1439022
Arctic Long Term Ecological  Research,LTER 360,68.6103804,-149.1507432
Arctic Long Term Ecological  Research,NE 12,68.65,-149.6166667
Arctic Long Term Ecological  Research,GTH 57,68.6227593,-149.1508764
Arctic Long Term Ecological  Research,GTH 59,68.6309551,-149.161536
Arctic Long Term Ecological  Research,GTH 39,68.5563566,-150.0128314
Arctic Long Term Ecological  Research,GTH 58,68.6253814,-149.1391872
Arctic Long Term Ecological  Research,GTH 47,68.516772,-150.0574208
Arctic Long Term Ecological  Research,GTH 108,68.5534707,-149.1670252
Arctic Long Term Ecological  Research,GTH 42,68.5855663,-149.9816751
Arctic Long Term Ecological  Research,Wolverine,,
Arctic Long Term Ecological  Research,Green Cabin Lake,68.53698,-149.2374
Arctic Long Term Ecological  Research,GTH 100,68.49607998,-149.6021557
Arctic Long Term Ecological  Research,GTH 101,68.49164194,-149.6074398
Arctic Long Term Ecological  Research,GTH 93,68.61368805,-149.2028757
Arctic Long Term Ecological  Research,GTH 96,68.60957208,-149.2086521
Arctic Long Term Ecological  Research,I Minus,68.55634,-149.56628
Arctic Long Term Ecological  Research,I Minus 02,68.54593,-149.54214
Arctic Long Term Ecological  Research,I1,68.56871308,-149.5880763
Arctic Long Term Ecological  Research,I2,68.57131956,-149.5658816
Arctic Long Term Ecological  Research,I4,68.57956715,-149.5840594
Arctic Long Term Ecological  Research,I5,68.58738744,-149.5896259
Arctic Long Term Ecological  Research,I6,68.5965924,-149.5926434
Arctic Long Term Ecological  Research,I7,68.6008748,-149.5965821
Arctic Long Term Ecological  Research,Island Lake,68.52364,-149.48141
Arctic Long Term Ecological  Research,Itigakmit Lake,68.68738,-149.67459
Arctic Long Term Ecological  Research,LTER 362,68.61793423,-149.1859459
Arctic Long Term Ecological  Research,N 01,68.63989394,-149.6069656
Arctic Long Term Ecological  Research,NE 14,68.68333333,-149.6166667
Arctic Long Term Ecological  Research,S 06,68.62937978,-149.6416233
Arctic Long Term Ecological  Research,Toolik,68.629961,-149.612633
Arctic Long Term Ecological  Research,Ivishak,,
Arctic Long Term Ecological  Research,Conflice Lakes B4,68.83118,-149.74606
Arctic Long Term Ecological  Research,GTH 103,68.48641825,-149.6235398
Arctic Long Term Ecological  Research,GTH 107,68.48011778,-149.553734
Arctic Long Term Ecological  Research,GTH 156,68.660733,-149.62966
Arctic Long Term Ecological  Research,GTH 156-B,,
Arctic Long Term Ecological  Research,GTH 91,68.62389284,-149.4695599
Arctic Long Term Ecological  Research,GTH 97,68.60709754,-149.2148203
Arctic Long Term Ecological  Research,I3,68.57553663,-149.5836445
Arctic Long Term Ecological  Research,N 02,68.64094723,-149.6250863
Arctic Long Term Ecological  Research,N 03,68.64238534,-149.6307699
Arctic Long Term Ecological  Research,NE 02,68.64632501,-149.5827224
Arctic Long Term Ecological  Research,Perched Lake,68.94126667,-150.5068
Arctic Long Term Ecological  Research,S 03,68.62881862,-149.624822
Arctic Long Term Ecological  Research,S 07,68.63006274,-149.6444418
Arctic Long Term Ecological  Research,S 11,68.63014805,-149.6505791
Arctic Long Term Ecological  Research,GTH 61,68.6387236,-149.1786243
Arctic Long Term Ecological  Research,I2 Outlet,68.572546,-149.570268
International Long-Term Ecological Research- Mongolian American Aquatic Ecology Research Initiative,Lake Hovsgol,51.1228,100.5491
